name,description,requires_authorization,required_params
"setup_dev_environment","Create project scaffold, init venv/container, and install base dependencies.",False,"project|language"
"dependency_scan","Run dependency/security scanner over a codebase.",False,"path|tool"
"run_vulnerability_scan","Run network/vulnerability scan inside an isolated lab (requires lab auth).",True,"target|scan_profile|authorization_token"
"create_remediation_patch","Generate a remediation patch or PR for a known vulnerability.",False,"vuln_id|repo_path"
"run_port_scan","Perform a port scan against a target host or network segment  ONLY with authorization and in isolated lab environments.",True,"target_ip|authorization_token"
"spawn_agent","Create and start an orchestration agent instance with supplied role and capabilities.",False,"agent_name"
"spawn_subagent","Spawn a short-lived sub-agent to perform a bounded task and return results to the parent agent.",False,"parent_agent|task"
"analyze_logs","Analyze collected logs for suspicious patterns and summarize findings.",False,"log_paths"
"monitor_logs","Start continuous log monitoring with alerting rules (read-only unless authorized).",False,"sources"
"generate_forensics_playbook","Produce a forensics playbook for a detected incident with step-by-step actions.",False,"incident_id|severity"
"create_incident_response_runbook","Generate a runnable incident response runbook with commands and play steps.",False,"incident_id|systems"
"rotate_secrets","Rotate credentials or secrets via secret-store APIs. Requires secure vault permissions and audit.",False,"secret_id|vault"
"deploy_application","Deploy an application artifact to a target environment (staging/production) using approved pipelines.",False,"artifact_id|environment"
"monitor_performance","Collect and summarize performance metrics for services over a time window.",False,"service|metrics"
"generate_architecture_diagram","Produce a system architecture diagram (textual or mermaid) from code / infra descriptions.",False,"source"
"create_bug_bounty_scope","Draft an authorized bug bounty program scope and disclosure guidelines for a product or service.",False,"product_name|in_scope|out_of_scope"
"generate_supplemental_docs_for_audit","Produce documentation artifacts required for compliance audits (evidence mapping, config snapshots, control descriptions).",False,"compliance_standard|unit"
"create_access_token_policy","Draft a policy for short-lived access tokens, lifetimes, scopes, and rotation rules.",False,"token_lifetime_minutes|scopes"
"generate_privilege_escalation_hunt","Create detection rules and hunt playbooks for common privilege escalation patterns.",False,"environment"
"create_privacy_data_map","Map personal data flows across systems and produce retention and minimization recommendations.",False,"systems|data_types"
"generate_backup_strategy","Design a backup and restore strategy including retention, encryption, and recovery objectives.",False,"systems|rpo_hours|rto_hours"
"create_malware_analysis_lab","Design an isolated analysis lab environment with VM/container specs, network isolation, and tooling lists.",False,"lab_name|isolation_level"
"generate_malicious_sample_handling_policy","Draft safe handling and storage policies for potentially malicious samples, including chain-of-custody and retention.",False,"organization_name|responsible_team"
"create_privileged_account_onboarding","Produce an onboarding checklist and required controls for privileged accounts.",False,"account_type|required_controls"
"generate_compliance_gap_analysis","Compare current controls to a target compliance standard and produce prioritized remediation items.",False,"standard|evidence_paths"
"create_change_management_plan","Create a change management plan with approval flows, rollback criteria, and communication steps.",False,"change_id|impact_level|stakeholders"
"generate_runbook_for_operation","Produce an operational runbook with step-by-step commands, diagnostics, and recovery procedures for routine operations.",False,"operation_name|platform"
